,class,conversation
0,일반 대화,맞아 뭐하냐고 똑바로 놓으라고 ㅋㅋ 개웃겨ㅋㅋ 그러다가 잘 못 봐서 칠 때가 가장 웃기다고 ㅋㅋ
1,일반 대화,계속 연애하는 것도 있잖아음 그렇긴 하네/그래도 법적으로 이어지지 않은 사이는 불안할 것 같아
2,일반 대화,응응 하하 마블 역시 영화 잘만드네ㅋㅋ 마자 이터널스도 빨리!
3,일반 대화,담 주에 놀러 가면 애들이랑 게임하기로 했어아 놀러 가는구나/무슨 게임하기로 했어?
4,일반 대화,재무팀에 가면 뭐가 좋아?음 그래도 좀 더 머리 쓰고 전문적이라서 경리보단 나중에 경력에 좋지!
5,일반 대화,맞아 ㅠㅠ 요즘 아침마다 옷 뭐 입지 고민하다가 지각할뻔해.날씨가 추우니까 출근길이 더 힘들어.
6,일반 대화,집에서는  왜 그리 절대 안 될꼬 ㅋㅋ집에서 머리 같으면 반나절 지나면 정내 남
7,일반 대화,너 머리 했다고 했지?응 새로 잘랐어
8,일반 대화,응 그냥 앉아있다가 말 나와야 가거든...그럼 할일 없어도 앉아있어야 되는거야?...
9,일반 대화,춘천하면 닭갈비가 제일 유명한데 나는 떡볶이가 맛있었어너는 떡볶이를 좋아해서 그런가봐
10,일반 대화,그래도 부동산 몇 곳 발품 팔면 잘될 거야 하하맞아 날 추워지기 전에 많은 발품 팔아야지
11,일반 대화,따뜻해서 좋을 것 같아.나도 또 여행 가고 싶다.
12,일반 대화,일단 너무 진해져서 송충이 같을까봐 조금 소심한 게 그리는 것 같아그럼 지금은 어떤 제품을 사용중이야?
13,일반 대화,내일 상견레한다...음식점은 어디로 예약했어?
14,일반 대화,근처에 게임방 아는 곳 있어?나는 주로 건대입구에 있는 게임방으로 가.
15,일반 대화,언니 재난지원금 얼마나 남았어?나는 예전에 다 썼지.
16,일반 대화,너는 언제쯤 결혼 하고 싶어?나는 생각해보면 20대 후반에?
17,일반 대화,병원에 사람이 정말 많았어난 요즘 소화가 잘 안돼서 걱정이야 ㅠㅠ
18,일반 대화,괌은 비행기 타고 나가지?응~  투명하고 이쁘더라 ㅜㅜ/비행기 타야 대 하하
19,일반 대화,땀 엄청 흘리고 노폐물 빠지니까그런 게 있긴 한 가봄 ㅋㅋ 신기해 운동 뭐 하는데
20,일반 대화,고데기 하기 힘들어 짧은 머리는이것도 괜찮은 거 같아서
21,일반 대화,나 머리 감을 때랑 말릴 때 빼고는 잘 안만져그렇구나 그리고 머리도 꽉 묶지 말고
22,일반 대화,옛날에 앵무새 키우는 사람 신기했는데 ㅋㅋ아 맞아 우리 옆 아파트 살던 오빠도 앵무새 키움 ㅋㅋ
23,일반 대화,아니 내가 통신사 할인이 되거든오 뭐 공짜로 끊을 수 있고 그래?
24,일반 대화,그래도 소리는 좀 들어오더라.공사 초기에는 좀더 시끄럽던데 한지 얼마 안됐어?
25,일반 대화,그럼 요즘 핸드폰으로는 무슨 게임 자주 해?나는 요즘 스토쿠에 빠졌어 계속 풀게 되더라
26,일반 대화,그리고 모구모구 외에 사이다도 자주 드셔서 제한을 걸어야겠어.당 섭취를 줄이셔야겠다.
27,일반 대화,선선하니 야외테이블도 좋겠다어어 선선하가/그래도 찬바람은 아니넹 ㅋㅋ
28,일반 대화,ㅋㅋ 상품권+엘포인트 550원까지 써가지고 0원에 구매한 셈이다굿 ㅋㅋ 나도 뭐 살지 고민중 ㅋㅋ 행복한 고민
29,일반 대화,나는 김태리가 너무 좋아졌어김태리는 유명한 영화인으로 알고 있는데?
30,일반 대화,요거임...얘가 제노야?/진짜 애기였는데
31,일반 대화,"ㅋㅋ 역시나, 연애관 잘 맞는 남자 만나고 싶다!그니까 말 안 해도 막 통하는 그런 사이"
32,일반 대화,아마 겨울이라 윈터가 된 거 아닐까?에스파를 잘 모르는구나
33,일반 대화,어몽어스가 마피아 게임이랑 비슷하지 않아?나는 한 번도 해본 적 없어서 잘 모르겠어.
34,일반 대화,근데 일단 배우는 곳부터 멀쥬?아니쥬/여기 가까운 데에 있쥬~
35,일반 대화,악몽이다 ㅋㅋ 건전하게 놀자 좀ㅋㅋ 아 왱 >< 술 게임이 진정한 게임이지
36,일반 대화,똑바로 장사했으면 좋겠어.감성도 좋지만 적당히 해야지.
37,일반 대화,오... 그럼 진짜 이용해야겠다응 나도 자주 이용하는편
38,일반 대화,맞아 그때 그 느낌을 살려야 하는데 나는 안녕하세요? 가보고 싶었어.아 ! 안녕하세요 재밌게 봤는데 요즘도 하나?
39,일반 대화,응 그래서 너무 좋대나도 다음에 입사 할 때에는 그런 곳에 가고 싶다.
40,일반 대화,엠넷이라 티빙으로 보고 있어 나는 ㅋㅋ아아 티빙 나 또 아이디 있지/굳굳 하하
41,일반 대화,건강 위해서는 산책하래산책이 그렇게 좋다며
42,일반 대화,재난지원금 준 거 받았냐?당근 첫날에 가서 받았다.
43,일반 대화,너도 봤구나?클립만 봤어 그리고 소재도 참신해
44,일반 대화,나 이번에 속눈썹 연장해!우와 어디서 받아?
45,일반 대화,모든거? 라면 어떤거야?예를 들면 요리하기라던지 그런 건 잘하는 사람이 해야지 하하 ㅋㅋ
46,일반 대화,아 혹시 무선청소기 어떤 점이 좋아?일단 선이 없으니까 이곳저곳 청소하기가 편해! 진짜 너무 잘 산 물건 중 하나야!
47,일반 대화,그거는 아니고 살아보고 정말 확신이 생겼을 때 혼인 신고를 한대오 그거 좋은 방법이다.
48,일반 대화,나 송중기 좋아했었잖아 기억 안 나?오 송중기 만인의 연인이었었지 ㅋㅋ
49,일반 대화,둘 중에 골라야 하는 사실이 정말 슬프다.그래도 하나 골라봐.
50,일반 대화,어떤거 키우는데?음 그냥 가게 운영하고 그러거?
51,일반 대화,아니야... 내 기억 왜곡 하지마 ㅋㅋㅋㅋ 내가 볼땐 징징이보다 뚱이가 더 나빠
52,일반 대화,그니까 거기는 애를 못맡기겠어나도 안가야겠다/어딘지 알려줘
53,일반 대화,아니 나는 공감하지 못 해 나는 아직도 울어ㅜㅜㅋㅋ 아직 머리는 많이 어린 시절이구나
54,일반 대화,피부 좋다는 말 많이 들었어제가 봐도 엄마 피부 좋아요
55,일반 대화,"음 ㅜㅜ 사실 애기면 잘 때 후딱 가고 그러면 되는데, 얘네는 언제 잘지도 모르고ㅋㅋ 맞아요 진짜 ㅋㅋ 또 바깥 구경한다고"
56,일반 대화,근데 라면은 공짜야어 나 방금 좀 물음표 살인마 같았다 ㅋㅋ/야 그래도 라면은 배가 안 차잖아
57,일반 대화,그래 아빠랑 얘기해 봐서 2박3일정도 바닷가에 다녀와야겠다가서 맛있는 것도 먹고 바람도 쐬고 오세요.
58,일반 대화,건강상의 이유로 야매요리 연재도 빨리 끝내시고 쉬셨나봐.그럼 이제는 건강이 많이 회복되셨나 보다.
59,일반 대화,응 너무 신기하긴 한데 아플까 봐 걱정이 돼그러게 아무래도 신체를 임의적으로 움직이는 거니 부담이 되긴 하겠다.
60,일반 대화,응응 근데 아직 어깨도 안닿아... 하하6개월만 딱 참아봐봐 ㅋㅋ/은근빨리긴다 고비지나면
61,일반 대화,실비는 꼭 들어야 하는 보험 중 하난데 얼른 들어!나도 그러고 싶은데 이제 조건이 까다로워진다고 하더라고.
62,일반 대화,요새 몇키로임?그냥 포기함 지금 재볼까
63,일반 대화,엉 광주형 일자리 어쩌고 하던데 ㅋㅋ 넘 귀맞어 봤어 오늘부터 예약하던데 ㅋㅋ
64,일반 대화,난 일단 위 내시경 하고 대장 내시경은 꼭 받고 싶어나도 이번에는 대장 내시경 추가해서 받아보려고 생각 중이야...
65,일반 대화,다이어트는 왜 끝이 없는걸까~지겨운 살ㅋㅋ 나잇살이라서 그런가 더 안빠지는거가터;
66,일반 대화,아아 옮겨 다닌다는 게 지역을 계속 옮긴다는 거지?네 맞아요 그리고 배 타고 또 멀리 나가기도 하고 ㅜㅜ 그러면 연락 두절
67,일반 대화,냉장고에서 꺼내기 귀찮다구.그치만 그 차가운 팩을 올릴 때의 기분 좋음을 포기할 순 없어!
68,일반 대화,소개팅 해보고 싶어?그냥 해주면 하는거고 아니면 말고?
69,일반 대화,역시 자기관리 하는 사람은 멋있어그러니깐 자기관리 건강관리 잘하는 사람 본받고 싶다/그건 바로 내가 될 거야
70,일반 대화,"맞아 ㅋㅋ 나 일어나면 차려져 있어 ㅋㅋ그럼 됐지, 난 초등학교 이후로 엄마가 차려주는 아침밥을 본 적이 없어 ㅋㅋ"
71,일반 대화,그러게 그러고 보니 테이큰 영화를 본 적이 없었어 ㅋㅋ헐 그걸 아직도 안 봤다고?!/그럼 그거 얼른 봐!
72,일반 대화,당연한 걸~ ㅋㅋ 그럼 서든은 너 잘 하겠다지금은 안 한 지 좀 됐는데 서든은 그냥 저냥 하는 거 같아 ㅋㅋ
73,일반 대화,우리 이번에 여행 가는 거 어떻게 하는 게 좋을까?여행지 말하는 거야?
74,일반 대화,근데 진짜 요즘 공부 안 해나두 공부하고 싶어서 스페인어 책 샀는데 ㅋㅋ
75,일반 대화,ㅋㅋ 웅 나도 할 수 있으니까너 이제 올해 졸업이냐?
76,일반 대화,그러게 근데 2주 다닐 거였으면 독학해도 괜찮지 않을까?...ㅋㅋ 아니야 가르쳐주는 사람이 있어야 그래도 빨리 딸 수 있어
77,일반 대화,맞아 맞아 요즘은 모바일로도 나왔는데 사실 손맛이 좀 그립더라고 ㅠㅠ.아 맞아 다른 건 모바일이 좋은데 이건 손맛이 그립더라.
